Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1	7.2144e-007
1	0.	0.4	0.	1	7.2144e-007
2	0.3	0.4	0.	1	-7.1798e-008
2	0.3	0.4	0.	1	-7.1798e-008
5	0.	0.2	0.	1	4.1505e-007
5	0.	0.2	0.	1	4.1505e-007
6	0.3	0.2	0.	1	-3.7819e-007
6	0.3	0.2	0.	1	-3.7819e-007
2	0.3	0.4	0.	2	-3.1398e-006
2	0.3	0.4	0.	2	-3.1398e-006
3	0.6	0.4	0.	2	-1.3301e-006
3	0.6	0.4	0.	2	-1.3301e-006
6	0.3	0.2	0.	2	-1.303e-006
6	0.3	0.2	0.	2	-1.303e-006
7	0.6	0.2	0.	2	5.0676e-007
7	0.6	0.2	0.	2	5.0676e-007
3	0.6	0.4	0.	3	1.4099e-006
3	0.6	0.4	0.	3	1.4099e-006
4	0.9	0.4	0.	3	-2.2848e-007
4	0.9	0.4	0.	3	-2.2848e-007
7	0.6	0.2	0.	3	9.2971e-007
7	0.6	0.2	0.	3	9.2971e-007
8	0.9	0.2	0.	3	-7.0867e-007
8	0.9	0.2	0.	3	-7.0867e-007
7	0.6	0.2	0.	4	8.6985e-007
7	0.6	0.2	0.	4	8.6985e-007
8	0.9	0.2	0.	4	-1.4898e-006
8	0.9	0.2	0.	4	-1.4898e-006
9	0.6	0.	0.	4	1.0087e-006
9	0.6	0.	0.	4	1.0087e-006
10	0.9	0.	0.	4	-1.351e-006
10	0.9	0.	0.	4	-1.351e-006
