Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1.1239e-006
2	0.3	0.4	0.	-2.3623e-006
5	0.	0.2	0.	5.9324e-007
6	0.3	0.2	0.	-1.0369e-006
2	0.3	0.4	0.	-2.3623e-006
3	0.6	0.4	0.	4.2268e-007
6	0.3	0.2	0.	-1.0369e-006
7	0.6	0.2	0.	1.626e-006
3	0.6	0.4	0.	4.2268e-007
4	0.9	0.4	0.	-6.524e-007
7	0.6	0.2	0.	1.626e-006
8	0.9	0.2	0.	-1.9443e-006
7	0.6	0.2	0.	1.626e-006
8	0.9	0.2	0.	-1.9443e-006
9	0.6	0.	0.	1.9233e-006
10	0.9	0.	0.	-2.1638e-006
