Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1	1.1239e-006
1	0.	0.4	0.	1	1.1239e-006
2	0.3	0.4	0.	1	-2.4999e-007
2	0.3	0.4	0.	1	-2.4999e-007
5	0.	0.2	0.	1	5.9324e-007
5	0.	0.2	0.	1	5.9324e-007
6	0.3	0.2	0.	1	-7.8069e-007
6	0.3	0.2	0.	1	-7.8069e-007
2	0.3	0.4	0.	2	-4.4746e-006
2	0.3	0.4	0.	2	-4.4746e-006
3	0.6	0.4	0.	2	-1.34e-006
3	0.6	0.4	0.	2	-1.34e-006
6	0.3	0.2	0.	2	-1.2931e-006
6	0.3	0.2	0.	2	-1.2931e-006
7	0.6	0.2	0.	2	1.8415e-006
7	0.6	0.2	0.	2	1.8415e-006
3	0.6	0.4	0.	3	2.1854e-006
3	0.6	0.4	0.	3	2.1854e-006
4	0.9	0.4	0.	3	-6.524e-007
4	0.9	0.4	0.	3	-6.524e-007
7	0.6	0.2	0.	3	1.3536e-006
7	0.6	0.2	0.	3	1.3536e-006
8	0.9	0.2	0.	3	-1.4841e-006
8	0.9	0.2	0.	3	-1.4841e-006
7	0.6	0.2	0.	4	1.6827e-006
7	0.6	0.2	0.	4	1.6827e-006
8	0.9	0.2	0.	4	-2.4044e-006
8	0.9	0.2	0.	4	-2.4044e-006
9	0.6	0.	0.	4	1.9233e-006
9	0.6	0.	0.	4	1.9233e-006
10	0.9	0.	0.	4	-2.1638e-006
10	0.9	0.	0.	4	-2.1638e-006
