Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Shear Elastic Strain (m/m)
1	0.	0.4	0.	1	-1.3e-005
1	0.	0.4	0.	1	-1.3e-005
2	0.3	0.4	0.	1	-1.2081e-005
2	0.3	0.4	0.	1	-1.2081e-005
5	0.	0.2	0.	1	-1.4058e-005
5	0.	0.2	0.	1	-1.4058e-005
6	0.3	0.2	0.	1	-1.3139e-005
6	0.3	0.2	0.	1	-1.3139e-005
2	0.3	0.4	0.	2	7.1963e-006
2	0.3	0.4	0.	2	7.1963e-006
3	0.6	0.4	0.	2	1.6858e-006
3	0.6	0.4	0.	2	1.6858e-006
6	0.3	0.2	0.	2	9.6093e-006
6	0.3	0.2	0.	2	9.6093e-006
7	0.6	0.2	0.	2	4.0988e-006
7	0.6	0.2	0.	2	4.0988e-006
3	0.6	0.4	0.	3	1.0085e-006
3	0.6	0.4	0.	3	1.0085e-006
4	0.9	0.4	0.	3	2.449e-006
4	0.9	0.4	0.	3	2.449e-006
7	0.6	0.2	0.	3	-1.1761e-006
7	0.6	0.2	0.	3	-1.1761e-006
8	0.9	0.2	0.	3	2.6452e-007
8	0.9	0.2	0.	3	2.6452e-007
7	0.6	0.2	0.	4	6.4042e-006
7	0.6	0.2	0.	4	6.4042e-006
8	0.9	0.2	0.	4	5.9876e-006
8	0.9	0.2	0.	4	5.9876e-006
9	0.6	0.	0.	4	3.258e-006
9	0.6	0.	0.	4	3.258e-006
10	0.9	0.	0.	4	2.8413e-006
10	0.9	0.	0.	4	2.8413e-006
