Node Number	X Location (m)	Y Location (m)	Z Location (m)	Shear Elastic Strain (m/m)
1	0.	0.4	0.	-1.2949e-005
2	0.3	0.4	0.	-1.5136e-006
5	0.	0.2	0.	-1.4781e-005
6	0.3	0.2	0.	-3.3987e-007
2	0.3	0.4	0.	-1.5136e-006
3	0.6	0.4	0.	3.3162e-008
6	0.3	0.2	0.	-3.3987e-007
7	0.6	0.2	0.	2.7235e-006
3	0.6	0.4	0.	3.3162e-008
4	0.9	0.4	0.	3.7759e-006
7	0.6	0.2	0.	2.7235e-006
8	0.9	0.2	0.	3.4894e-006
7	0.6	0.2	0.	2.7235e-006
8	0.9	0.2	0.	3.4894e-006
9	0.6	0.	0.	2.2588e-006
10	0.9	0.	0.	1.5372e-006
