Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Shear Elastic Strain (m/m)
1	0.	0.4	0.	1	-1.2949e-005
1	0.	0.4	0.	1	-1.2949e-005
2	0.3	0.4	0.	1	-1.1357e-005
2	0.3	0.4	0.	1	-1.1357e-005
5	0.	0.2	0.	1	-1.4781e-005
5	0.	0.2	0.	1	-1.4781e-005
6	0.3	0.2	0.	1	-1.3189e-005
6	0.3	0.2	0.	1	-1.3189e-005
2	0.3	0.4	0.	2	8.3301e-006
2	0.3	0.4	0.	2	8.3301e-006
3	0.6	0.4	0.	2	-1.2144e-006
3	0.6	0.4	0.	2	-1.2144e-006
6	0.3	0.2	0.	2	1.2509e-005
6	0.3	0.2	0.	2	1.2509e-005
7	0.6	0.2	0.	2	2.965e-006
7	0.6	0.2	0.	2	2.965e-006
3	0.6	0.4	0.	3	1.2807e-006
3	0.6	0.4	0.	3	1.2807e-006
4	0.9	0.4	0.	3	3.7759e-006
4	0.9	0.4	0.	3	3.7759e-006
7	0.6	0.2	0.	3	-2.5029e-006
7	0.6	0.2	0.	3	-2.5029e-006
8	0.9	0.2	0.	3	-7.7705e-009
8	0.9	0.2	0.	3	-7.7705e-009
7	0.6	0.2	0.	4	7.7083e-006
7	0.6	0.2	0.	4	7.7083e-006
8	0.9	0.2	0.	4	6.9867e-006
8	0.9	0.2	0.	4	6.9867e-006
9	0.6	0.	0.	4	2.2588e-006
9	0.6	0.	0.	4	2.2588e-006
10	0.9	0.	0.	4	1.5372e-006
10	0.9	0.	0.	4	1.5372e-006
