Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1	8.2411e-007
1	0.	0.4	0.	1	8.2411e-007
2	0.3	0.4	0.	1	1.6174e-006
2	0.3	0.4	0.	1	1.6174e-006
5	0.	0.2	0.	1	1.1305e-006
5	0.	0.2	0.	1	1.1305e-006
6	0.3	0.2	0.	1	1.9237e-006
6	0.3	0.2	0.	1	1.9237e-006
2	0.3	0.4	0.	2	1.4366e-006
2	0.3	0.4	0.	2	1.4366e-006
3	0.6	0.4	0.	2	-3.7315e-007
3	0.6	0.4	0.	2	-3.7315e-007
6	0.3	0.2	0.	2	-4.0025e-007
6	0.3	0.2	0.	2	-4.0025e-007
7	0.6	0.2	0.	2	-2.21e-006
7	0.6	0.2	0.	2	-2.21e-006
3	0.6	0.4	0.	3	-1.7428e-006
3	0.6	0.4	0.	3	-1.7428e-006
4	0.9	0.4	0.	3	-1.044e-007
4	0.9	0.4	0.	3	-1.044e-007
7	0.6	0.2	0.	3	-1.2626e-006
7	0.6	0.2	0.	3	-1.2626e-006
8	0.9	0.2	0.	3	3.7579e-007
8	0.9	0.2	0.	3	3.7579e-007
7	0.6	0.2	0.	4	-2.8191e-006
7	0.6	0.2	0.	4	-2.8191e-006
8	0.9	0.2	0.	4	-4.5944e-007
8	0.9	0.2	0.	4	-4.5944e-007
9	0.6	0.	0.	4	-2.958e-006
9	0.6	0.	0.	4	-2.958e-006
10	0.9	0.	0.	4	-5.9832e-007
10	0.9	0.	0.	4	-5.9832e-007
