Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Elastic Strain (m/m)
1	0.	0.4	0.	4.2162e-007
2	0.3	0.4	0.	2.2834e-006
5	0.	0.2	0.	9.5231e-007
6	0.3	0.2	0.	9.5804e-007
2	0.3	0.4	0.	2.2834e-006
3	0.6	0.4	0.	-1.4407e-006
6	0.3	0.2	0.	9.5804e-007
7	0.6	0.2	0.	-2.9544e-006
3	0.6	0.4	0.	-1.4407e-006
4	0.9	0.4	0.	3.1952e-007
7	0.6	0.2	0.	-2.9544e-006
8	0.9	0.2	0.	8.0317e-007
7	0.6	0.2	0.	-2.9544e-006
8	0.9	0.2	0.	8.0317e-007
9	0.6	0.	0.	-3.8726e-006
10	0.9	0.	0.	2.1455e-007
