Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1	4.2162e-007
1	0.	0.4	0.	1	4.2162e-007
2	0.3	0.4	0.	1	1.7955e-006
2	0.3	0.4	0.	1	1.7955e-006
5	0.	0.2	0.	1	9.5231e-007
5	0.	0.2	0.	1	9.5231e-007
6	0.3	0.2	0.	1	2.3262e-006
6	0.3	0.2	0.	1	2.3262e-006
2	0.3	0.4	0.	2	2.7713e-006
2	0.3	0.4	0.	2	2.7713e-006
3	0.6	0.4	0.	2	-3.6323e-007
3	0.6	0.4	0.	2	-3.6323e-007
6	0.3	0.2	0.	2	-4.1017e-007
6	0.3	0.2	0.	2	-4.1017e-007
7	0.6	0.2	0.	2	-3.5447e-006
7	0.6	0.2	0.	2	-3.5447e-006
3	0.6	0.4	0.	3	-2.5182e-006
3	0.6	0.4	0.	3	-2.5182e-006
4	0.9	0.4	0.	3	3.1952e-007
4	0.9	0.4	0.	3	3.1952e-007
7	0.6	0.2	0.	3	-1.6865e-006
7	0.6	0.2	0.	3	-1.6865e-006
8	0.9	0.2	0.	3	1.1512e-006
8	0.9	0.2	0.	3	1.1512e-006
7	0.6	0.2	0.	4	-3.632e-006
7	0.6	0.2	0.	4	-3.632e-006
8	0.9	0.2	0.	4	4.551e-007
8	0.9	0.2	0.	4	4.551e-007
9	0.6	0.	0.	4	-3.8726e-006
9	0.6	0.	0.	4	-3.8726e-006
10	0.9	0.	0.	4	2.1455e-007
10	0.9	0.	0.	4	2.1455e-007
