Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Stress (Pa)
1	0.	0.4	0.	1	2.3976e+005
1	0.	0.4	0.	1	2.3976e+005
2	0.3	0.4	0.	1	1.2821e+005
2	0.3	0.4	0.	1	1.2821e+005
5	0.	0.2	0.	1	1.9668e+005
5	0.	0.2	0.	1	1.9668e+005
6	0.3	0.2	0.	1	85126
6	0.3	0.2	0.	1	85126
2	0.3	0.4	0.	2	-5.9396e+005
2	0.3	0.4	0.	2	-5.9396e+005
3	0.6	0.4	0.	2	-3.3946e+005
3	0.6	0.4	0.	2	-3.3946e+005
6	0.3	0.2	0.	2	-3.3565e+005
6	0.3	0.2	0.	2	-3.3565e+005
7	0.6	0.2	0.	2	-81156
7	0.6	0.2	0.	2	-81156
3	0.6	0.4	0.	3	1.6848e+005
3	0.6	0.4	0.	3	1.6848e+005
4	0.9	0.4	0.	3	-61918
4	0.9	0.4	0.	3	-61918
7	0.6	0.2	0.	3	1.0095e+005
7	0.6	0.2	0.	3	1.0095e+005
8	0.9	0.2	0.	3	-1.2945e+005
8	0.9	0.2	0.	3	-1.2945e+005
7	0.6	0.2	0.	4	-52115
7	0.6	0.2	0.	4	-52115
8	0.9	0.2	0.	4	-3.8395e+005
8	0.9	0.2	0.	4	-3.8395e+005
9	0.6	0.	0.	4	-32585
9	0.6	0.	0.	4	-32585
10	0.9	0.	0.	4	-3.6442e+005
10	0.9	0.	0.	4	-3.6442e+005
