Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Stress (Pa)
1	0.	0.4	0.	1	2.9636e+005
1	0.	0.4	0.	1	2.9636e+005
2	0.3	0.4	0.	1	1.0315e+005
2	0.3	0.4	0.	1	1.0315e+005
5	0.	0.2	0.	1	2.2173e+005
5	0.	0.2	0.	1	2.2173e+005
6	0.3	0.2	0.	1	28525
6	0.3	0.2	0.	1	28525
2	0.3	0.4	0.	2	-7.8165e+005
2	0.3	0.4	0.	2	-7.8165e+005
3	0.6	0.4	0.	2	-3.4086e+005
3	0.6	0.4	0.	2	-3.4086e+005
6	0.3	0.2	0.	2	-3.3426e+005
6	0.3	0.2	0.	2	-3.3426e+005
7	0.6	0.2	0.	2	1.0654e+005
7	0.6	0.2	0.	2	1.0654e+005
3	0.6	0.4	0.	3	2.7753e+005
3	0.6	0.4	0.	3	2.7753e+005
4	0.9	0.4	0.	3	-1.2153e+005
4	0.9	0.4	0.	3	-1.2153e+005
7	0.6	0.2	0.	3	1.6057e+005
7	0.6	0.2	0.	3	1.6057e+005
8	0.9	0.2	0.	3	-2.3849e+005
8	0.9	0.2	0.	3	-2.3849e+005
7	0.6	0.2	0.	4	62195
7	0.6	0.2	0.	4	62195
8	0.9	0.2	0.	4	-5.1255e+005
8	0.9	0.2	0.	4	-5.1255e+005
9	0.6	0.	0.	4	96022
9	0.6	0.	0.	4	96022
10	0.9	0.	0.	4	-4.7873e+005
10	0.9	0.	0.	4	-4.7873e+005
