Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Stress (Pa)
1	0.	0.4	0.	1	2.542e+005
1	0.	0.4	0.	1	2.542e+005
2	0.3	0.4	0.	1	3.6575e+005
2	0.3	0.4	0.	1	3.6575e+005
5	0.	0.2	0.	1	2.9729e+005
5	0.	0.2	0.	1	2.9729e+005
6	0.3	0.2	0.	1	4.0884e+005
6	0.3	0.2	0.	1	4.0884e+005
2	0.3	0.4	0.	2	49601
2	0.3	0.4	0.	2	49601
3	0.6	0.4	0.	2	-2.0489e+005
3	0.6	0.4	0.	2	-2.0489e+005
6	0.3	0.2	0.	2	-2.087e+005
6	0.3	0.2	0.	2	-2.087e+005
7	0.6	0.2	0.	2	-4.632e+005
7	0.6	0.2	0.	2	-4.632e+005
3	0.6	0.4	0.	3	-2.7487e+005
3	0.6	0.4	0.	3	-2.7487e+005
4	0.9	0.4	0.	3	-44470
4	0.9	0.4	0.	3	-44470
7	0.6	0.2	0.	3	-2.0734e+005
7	0.6	0.2	0.	3	-2.0734e+005
8	0.9	0.2	0.	3	23057
8	0.9	0.2	0.	3	23057
7	0.6	0.2	0.	4	-5.7088e+005
7	0.6	0.2	0.	4	-5.7088e+005
8	0.9	0.2	0.	4	-2.3905e+005
8	0.9	0.2	0.	4	-2.3905e+005
9	0.6	0.	0.	4	-5.9041e+005
9	0.6	0.	0.	4	-5.9041e+005
10	0.9	0.	0.	4	-2.5858e+005
10	0.9	0.	0.	4	-2.5858e+005
