Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Stress (Pa)
1	0.	0.4	0.	1	1.976e+005
1	0.	0.4	0.	1	1.976e+005
2	0.3	0.4	0.	1	3.9081e+005
2	0.3	0.4	0.	1	3.9081e+005
5	0.	0.2	0.	1	2.7223e+005
5	0.	0.2	0.	1	2.7223e+005
6	0.3	0.2	0.	1	4.6544e+005
6	0.3	0.2	0.	1	4.6544e+005
2	0.3	0.4	0.	2	2.373e+005
2	0.3	0.4	0.	2	2.373e+005
3	0.6	0.4	0.	2	-2.035e+005
3	0.6	0.4	0.	2	-2.035e+005
6	0.3	0.2	0.	2	-2.101e+005
6	0.3	0.2	0.	2	-2.101e+005
7	0.6	0.2	0.	2	-6.509e+005
7	0.6	0.2	0.	2	-6.509e+005
3	0.6	0.4	0.	3	-3.8392e+005
3	0.6	0.4	0.	3	-3.8392e+005
4	0.9	0.4	0.	3	15144
4	0.9	0.4	0.	3	15144
7	0.6	0.2	0.	3	-2.6696e+005
7	0.6	0.2	0.	3	-2.6696e+005
8	0.9	0.2	0.	3	1.3211e+005
8	0.9	0.2	0.	3	1.3211e+005
7	0.6	0.2	0.	4	-6.8519e+005
7	0.6	0.2	0.	4	-6.8519e+005
8	0.9	0.2	0.	4	-1.1044e+005
8	0.9	0.2	0.	4	-1.1044e+005
9	0.6	0.	0.	4	-7.1902e+005
9	0.6	0.	0.	4	-7.1902e+005
10	0.9	0.	0.	4	-1.4427e+005
10	0.9	0.	0.	4	-1.4427e+005
