
KMATRIXF: 
[ 1, 1]: 1.511e+11 [ 1, 2]: 0.000e+00 [ 1, 3]: 2.269e+09 [ 1, 4]: 0.000e+00 [ 1, 5]:-5.387e+10 [ 1, 6]: 3.995e+10 [ 1, 7]:-2.284e+10 [ 1, 8]:-4.794e+09 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 
[ 2, 1]: 0.000e+00 [ 2, 2]: 2.449e+11 [ 2, 3]: 0.000e+00 [ 2, 4]:-1.980e+11 [ 2, 5]: 3.995e+10 [ 2, 6]:-7.360e+10 [ 2, 7]: 4.794e+09 [ 2, 8]: 5.016e+10 [ 2, 9]: 0.000e+00 [ 2,10]: 0.000e+00 [ 2,11]: 0.000e+00 [ 2,12]: 0.000e+00 
[ 3, 1]: 2.269e+09 [ 3, 2]: 0.000e+00 [ 3, 3]: 1.511e+11 [ 3, 4]: 0.000e+00 [ 3, 5]:-2.284e+10 [ 3, 6]: 4.794e+09 [ 3, 7]:-5.387e+10 [ 3, 8]:-3.995e+10 [ 3, 9]: 0.000e+00 [ 3,10]: 0.000e+00 [ 3,11]: 0.000e+00 [ 3,12]: 0.000e+00 
[ 4, 1]: 0.000e+00 [ 4, 2]:-1.980e+11 [ 4, 3]: 0.000e+00 [ 4, 4]: 2.449e+11 [ 4, 5]:-4.794e+09 [ 4, 6]: 5.016e+10 [ 4, 7]:-3.995e+10 [ 4, 8]:-7.360e+10 [ 4, 9]: 0.000e+00 [ 4,10]: 0.000e+00 [ 4,11]: 0.000e+00 [ 4,12]: 0.000e+00 
[ 5, 1]:-5.387e+10 [ 5, 2]: 3.995e+10 [ 5, 3]:-2.284e+10 [ 5, 4]:-4.794e+09 [ 5, 5]: 2.267e+11 [ 5, 6]:-3.995e+10 [ 5, 7]: 2.269e+09 [ 5, 8]: 0.000e+00 [ 5, 9]:-4.567e+10 [ 5,10]: 0.000e+00 [ 5,11]:-5.387e+10 [ 5,12]:-3.995e+10 
[ 6, 1]: 3.995e+10 [ 6, 2]:-7.360e+10 [ 6, 3]: 4.794e+09 [ 6, 4]: 5.016e+10 [ 6, 5]:-3.995e+10 [ 6, 6]: 3.673e+11 [ 6, 7]: 0.000e+00 [ 6, 8]:-1.980e+11 [ 6, 9]: 0.000e+00 [ 6,10]: 1.003e+11 [ 6,11]:-3.995e+10 [ 6,12]:-7.360e+10 
[ 7, 1]:-2.284e+10 [ 7, 2]: 4.794e+09 [ 7, 3]:-5.387e+10 [ 7, 4]:-3.995e+10 [ 7, 5]: 2.269e+09 [ 7, 6]: 0.000e+00 [ 7, 7]: 1.511e+11 [ 7, 8]: 0.000e+00 [ 7, 9]:-5.387e+10 [ 7,10]: 3.995e+10 [ 7,11]:-2.284e+10 [ 7,12]:-4.794e+09 
[ 8, 1]:-4.794e+09 [ 8, 2]: 5.016e+10 [ 8, 3]:-3.995e+10 [ 8, 4]:-7.360e+10 [ 8, 5]: 0.000e+00 [ 8, 6]:-1.980e+11 [ 8, 7]: 0.000e+00 [ 8, 8]: 2.449e+11 [ 8, 9]: 3.995e+10 [ 8,10]:-7.360e+10 [ 8,11]: 4.794e+09 [ 8,12]: 5.016e+10 
[ 9, 1]: 0.000e+00 [ 9, 2]: 0.000e+00 [ 9, 3]: 0.000e+00 [ 9, 4]: 0.000e+00 [ 9, 5]:-4.567e+10 [ 9, 6]: 0.000e+00 [ 9, 7]:-5.387e+10 [ 9, 8]: 3.995e+10 [ 9, 9]: 1.511e+11 [ 9,10]: 0.000e+00 [ 9,11]: 1.134e+09 [ 9,12]: 4.794e+09 
[10, 1]: 0.000e+00 [10, 2]: 0.000e+00 [10, 3]: 0.000e+00 [10, 4]: 0.000e+00 [10, 5]: 0.000e+00 [10, 6]: 1.003e+11 [10, 7]: 3.995e+10 [10, 8]:-7.360e+10 [10, 9]: 0.000e+00 [10,10]: 2.449e+11 [10,11]:-4.794e+09 [10,12]:-9.899e+10 
[11, 1]: 0.000e+00 [11, 2]: 0.000e+00 [11, 3]: 0.000e+00 [11, 4]: 0.000e+00 [11, 5]:-5.387e+10 [11, 6]:-3.995e+10 [11, 7]:-2.284e+10 [11, 8]: 4.794e+09 [11, 9]: 1.134e+09 [11,10]:-4.794e+09 [11,11]: 7.557e+10 [11,12]: 3.995e+10 
[12, 1]: 0.000e+00 [12, 2]: 0.000e+00 [12, 3]: 0.000e+00 [12, 4]: 0.000e+00 [12, 5]:-3.995e+10 [12, 6]:-7.360e+10 [12, 7]:-4.794e+09 [12, 8]: 5.016e+10 [12, 9]: 4.794e+09 [12,10]:-9.899e+10 [12,11]: 3.995e+10 [12,12]: 1.224e+11 
