
MMATRIXF: 
[ 1, 1]: 1.044e+02 [ 1, 2]: 0.000e+00 [ 1, 3]: 5.220e+01 [ 1, 4]: 0.000e+00 [ 1, 5]: 1.305e+01 [ 1, 6]: 0.000e+00 [ 1, 7]: 2.610e+01 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 
[ 2, 1]: 0.000e+00 [ 2, 2]: 1.044e+02 [ 2, 3]: 0.000e+00 [ 2, 4]: 5.220e+01 [ 2, 5]: 0.000e+00 [ 2, 6]: 1.305e+01 [ 2, 7]: 0.000e+00 [ 2, 8]: 2.610e+01 [ 2, 9]: 0.000e+00 [ 2,10]: 0.000e+00 [ 2,11]: 0.000e+00 [ 2,12]: 0.000e+00 
[ 3, 1]: 5.220e+01 [ 3, 2]: 0.000e+00 [ 3, 3]: 1.044e+02 [ 3, 4]: 0.000e+00 [ 3, 5]: 2.610e+01 [ 3, 6]: 0.000e+00 [ 3, 7]: 1.305e+01 [ 3, 8]: 0.000e+00 [ 3, 9]: 0.000e+00 [ 3,10]: 0.000e+00 [ 3,11]: 0.000e+00 [ 3,12]: 0.000e+00 
[ 4, 1]: 0.000e+00 [ 4, 2]: 5.220e+01 [ 4, 3]: 0.000e+00 [ 4, 4]: 1.044e+02 [ 4, 5]: 0.000e+00 [ 4, 6]: 2.610e+01 [ 4, 7]: 0.000e+00 [ 4, 8]: 1.305e+01 [ 4, 9]: 0.000e+00 [ 4,10]: 0.000e+00 [ 4,11]: 0.000e+00 [ 4,12]: 0.000e+00 
[ 5, 1]: 1.305e+01 [ 5, 2]: 0.000e+00 [ 5, 3]: 2.610e+01 [ 5, 4]: 0.000e+00 [ 5, 5]: 1.566e+02 [ 5, 6]: 0.000e+00 [ 5, 7]: 5.220e+01 [ 5, 8]: 0.000e+00 [ 5, 9]: 5.220e+01 [ 5,10]: 0.000e+00 [ 5,11]: 1.305e+01 [ 5,12]: 0.000e+00 
[ 6, 1]: 0.000e+00 [ 6, 2]: 1.305e+01 [ 6, 3]: 0.000e+00 [ 6, 4]: 2.610e+01 [ 6, 5]: 0.000e+00 [ 6, 6]: 1.566e+02 [ 6, 7]: 0.000e+00 [ 6, 8]: 5.220e+01 [ 6, 9]: 0.000e+00 [ 6,10]: 5.220e+01 [ 6,11]: 0.000e+00 [ 6,12]: 1.305e+01 
[ 7, 1]: 2.610e+01 [ 7, 2]: 0.000e+00 [ 7, 3]: 1.305e+01 [ 7, 4]: 0.000e+00 [ 7, 5]: 5.220e+01 [ 7, 6]: 0.000e+00 [ 7, 7]: 1.044e+02 [ 7, 8]: 0.000e+00 [ 7, 9]: 1.305e+01 [ 7,10]: 0.000e+00 [ 7,11]: 2.610e+01 [ 7,12]: 0.000e+00 
[ 8, 1]: 0.000e+00 [ 8, 2]: 2.610e+01 [ 8, 3]: 0.000e+00 [ 8, 4]: 1.305e+01 [ 8, 5]: 0.000e+00 [ 8, 6]: 5.220e+01 [ 8, 7]: 0.000e+00 [ 8, 8]: 1.044e+02 [ 8, 9]: 0.000e+00 [ 8,10]: 1.305e+01 [ 8,11]: 0.000e+00 [ 8,12]: 2.610e+01 
[ 9, 1]: 0.000e+00 [ 9, 2]: 0.000e+00 [ 9, 3]: 0.000e+00 [ 9, 4]: 0.000e+00 [ 9, 5]: 5.220e+01 [ 9, 6]: 0.000e+00 [ 9, 7]: 1.305e+01 [ 9, 8]: 0.000e+00 [ 9, 9]: 1.044e+02 [ 9,10]: 0.000e+00 [ 9,11]: 2.610e+01 [ 9,12]: 0.000e+00 
[10, 1]: 0.000e+00 [10, 2]: 0.000e+00 [10, 3]: 0.000e+00 [10, 4]: 0.000e+00 [10, 5]: 0.000e+00 [10, 6]: 5.220e+01 [10, 7]: 0.000e+00 [10, 8]: 1.305e+01 [10, 9]: 0.000e+00 [10,10]: 1.044e+02 [10,11]: 0.000e+00 [10,12]: 2.610e+01 
[11, 1]: 0.000e+00 [11, 2]: 0.000e+00 [11, 3]: 0.000e+00 [11, 4]: 0.000e+00 [11, 5]: 1.305e+01 [11, 6]: 0.000e+00 [11, 7]: 2.610e+01 [11, 8]: 0.000e+00 [11, 9]: 2.610e+01 [11,10]: 0.000e+00 [11,11]: 5.220e+01 [11,12]: 0.000e+00 
[12, 1]: 0.000e+00 [12, 2]: 0.000e+00 [12, 3]: 0.000e+00 [12, 4]: 0.000e+00 [12, 5]: 0.000e+00 [12, 6]: 1.305e+01 [12, 7]: 0.000e+00 [12, 8]: 2.610e+01 [12, 9]: 0.000e+00 [12,10]: 2.610e+01 [12,11]: 0.000e+00 [12,12]: 5.220e+01 
