Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1	9.1727e-007
1	0.	0.4	0.	1	9.1727e-007
2	0.3	0.4	0.	1	4.9524e-007
2	0.3	0.4	0.	1	4.9524e-007
5	0.	0.2	0.	1	4.4965e-007
5	0.	0.2	0.	1	4.4965e-007
6	0.3	0.2	0.	1	2.762e-008
6	0.3	0.2	0.	1	2.762e-008
2	0.3	0.4	0.	2	-3.3875e-006
2	0.3	0.4	0.	2	-3.3875e-006
3	0.6	0.4	0.	2	-2.3872e-006
3	0.6	0.4	0.	2	-2.3872e-006
6	0.3	0.2	0.	2	-1.2016e-008
6	0.3	0.2	0.	2	-1.2016e-008
7	0.6	0.2	0.	2	9.8826e-007
7	0.6	0.2	0.	2	9.8826e-007
3	0.6	0.4	0.	3	1.6961e-006
3	0.6	0.4	0.	3	1.6961e-006
4	0.9	0.4	0.	3	8.7319e-007
4	0.9	0.4	0.	3	8.7319e-007
7	0.6	0.2	0.	3	1.8686e-007
7	0.6	0.2	0.	3	1.8686e-007
8	0.9	0.2	0.	3	-6.3608e-007
8	0.9	0.2	0.	3	-6.3608e-007
7	0.6	0.2	0.	4	1.3849e-007
7	0.6	0.2	0.	4	1.3849e-007
8	0.9	0.2	0.	4	-1.3642e-006
8	0.9	0.2	0.	4	-1.3642e-006
9	0.6	0.	0.	4	5.8712e-007
9	0.6	0.	0.	4	5.8712e-007
10	0.9	0.	0.	4	-9.1554e-007
10	0.9	0.	0.	4	-9.1554e-007
