Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1.2429e-006
2	0.3	0.4	0.	-2.2386e-006
5	0.	0.2	0.	4.3297e-007
6	0.3	0.2	0.	2.7968e-007
2	0.3	0.4	0.	-2.2386e-006
3	0.6	0.4	0.	-3.5342e-007
6	0.3	0.2	0.	2.7968e-007
7	0.6	0.2	0.	1.0166e-006
3	0.6	0.4	0.	-3.5342e-007
4	0.9	0.4	0.	1.1244e-006
7	0.6	0.2	0.	1.0166e-006
8	0.9	0.2	0.	-1.7841e-006
7	0.6	0.2	0.	1.0166e-006
8	0.9	0.2	0.	-1.7841e-006
9	0.6	0.	0.	1.3013e-006
10	0.9	0.	0.	-1.3013e-006
