Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1	1.2429e-006
2	0.3	0.4	0.	1	5.1192e-007
5	0.	0.2	0.	1	4.3297e-007
6	0.3	0.2	0.	1	-2.9801e-007
2	0.3	0.4	0.	2	-4.9891e-006
3	0.6	0.4	0.	2	-3.2566e-006
6	0.3	0.2	0.	2	8.5737e-007
7	0.6	0.2	0.	2	2.5899e-006
3	0.6	0.4	0.	3	2.5498e-006
4	0.9	0.4	0.	3	1.1244e-006
7	0.6	0.2	0.	3	-6.4354e-008
8	0.9	0.2	0.	3	-1.4897e-006
7	0.6	0.2	0.	4	5.2429e-007
8	0.9	0.2	0.	4	-2.0784e-006
9	0.6	0.	0.	4	1.3013e-006
10	0.9	0.	0.	4	-1.3013e-006
