Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1	3.0629e-007
1	0.	0.4	0.	1	3.0629e-007
2	0.3	0.4	0.	1	1.3915e-006
2	0.3	0.4	0.	1	1.3915e-006
5	0.	0.2	0.	1	4.8814e-007
5	0.	0.2	0.	1	4.8814e-007
6	0.3	0.2	0.	1	1.5734e-006
6	0.3	0.2	0.	1	1.5734e-006
2	0.3	0.4	0.	2	1.5945e-006
2	0.3	0.4	0.	2	1.5945e-006
3	0.6	0.4	0.	2	-9.776e-007
3	0.6	0.4	0.	2	-9.776e-007
6	0.3	0.2	0.	2	2.8185e-007
6	0.3	0.2	0.	2	2.8185e-007
7	0.6	0.2	0.	2	-2.2903e-006
7	0.6	0.2	0.	2	-2.2903e-006
3	0.6	0.4	0.	3	-2.0943e-006
3	0.6	0.4	0.	3	-2.0943e-006
4	0.9	0.4	0.	3	2.1814e-008
4	0.9	0.4	0.	3	2.1814e-008
7	0.6	0.2	0.	3	-1.5074e-006
7	0.6	0.2	0.	3	-1.5074e-006
8	0.9	0.2	0.	3	6.0875e-007
8	0.9	0.2	0.	3	6.0875e-007
7	0.6	0.2	0.	4	-3.5597e-006
7	0.6	0.2	0.	4	-3.5597e-006
8	0.9	0.2	0.	4	3.0422e-007
8	0.9	0.2	0.	4	3.0422e-007
9	0.6	0.	0.	4	-3.7342e-006
9	0.6	0.	0.	4	-3.7342e-006
10	0.9	0.	0.	4	1.2975e-007
10	0.9	0.	0.	4	1.2975e-007
