Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Elastic Strain (m/m)
1	0.	0.4	0.	-1.5749e-007
2	0.3	0.4	0.	2.3693e-006
5	0.	0.2	0.	1.5749e-007
6	0.3	0.2	0.	1.39e-006
2	0.3	0.4	0.	2.3693e-006
3	0.6	0.4	0.	-2.2612e-006
6	0.3	0.2	0.	1.39e-006
7	0.6	0.2	0.	-3.5632e-006
3	0.6	0.4	0.	-2.2612e-006
4	0.9	0.4	0.	5.8154e-007
7	0.6	0.2	0.	-3.5632e-006
8	0.9	0.2	0.	1.6903e-006
7	0.6	0.2	0.	-3.5632e-006
8	0.9	0.2	0.	1.6903e-006
9	0.6	0.	0.	-5.2124e-006
10	0.9	0.	0.	1.4802e-006
