Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Elastic Strain (m/m)
1	0.	0.4	0.	1	-1.5749e-007
2	0.3	0.4	0.	1	1.7222e-006
5	0.	0.2	0.	1	1.5749e-007
6	0.3	0.2	0.	1	2.0371e-006
2	0.3	0.4	0.	2	3.0165e-006
3	0.6	0.4	0.	2	-1.4386e-006
6	0.3	0.2	0.	2	7.4283e-007
7	0.6	0.2	0.	2	-3.7122e-006
3	0.6	0.4	0.	3	-3.0837e-006
4	0.9	0.4	0.	3	5.8154e-007
7	0.6	0.2	0.	3	-2.0671e-006
8	0.9	0.2	0.	3	1.5981e-006
7	0.6	0.2	0.	4	-4.9102e-006
8	0.9	0.2	0.	4	1.7824e-006
9	0.6	0.	0.	4	-5.2124e-006
10	0.9	0.	0.	4	1.4802e-006
