Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Stress (Pa)
1	0.	0.4	0.	1	2.3849e+005
1	0.	0.4	0.	1	2.3849e+005
2	0.3	0.4	0.	1	2.3849e+005
2	0.3	0.4	0.	1	2.3849e+005
5	0.	0.2	0.	1	1.4715e+005
5	0.	0.2	0.	1	1.4715e+005
6	0.3	0.2	0.	1	1.4715e+005
6	0.3	0.2	0.	1	1.4715e+005
2	0.3	0.4	0.	2	-6.3682e+005
2	0.3	0.4	0.	2	-6.3682e+005
3	0.6	0.4	0.	2	-6.3682e+005
3	0.6	0.4	0.	2	-6.3682e+005
6	0.3	0.2	0.	2	22457
6	0.3	0.2	0.	2	22457
7	0.6	0.2	0.	2	22457
7	0.6	0.2	0.	2	22457
3	0.6	0.4	0.	3	2.0289e+005
3	0.6	0.4	0.	3	2.0289e+005
4	0.9	0.4	0.	3	2.0289e+005
4	0.9	0.4	0.	3	2.0289e+005
7	0.6	0.2	0.	3	-91894
7	0.6	0.2	0.	3	-91894
8	0.9	0.2	0.	3	-91894
8	0.9	0.2	0.	3	-91894
7	0.6	0.2	0.	4	-2.8669e+005
7	0.6	0.2	0.	4	-2.8669e+005
8	0.9	0.2	0.	4	-2.8669e+005
8	0.9	0.2	0.	4	-2.8669e+005
9	0.6	0.	0.	4	-1.9907e+005
9	0.6	0.	0.	4	-1.9907e+005
10	0.9	0.	0.	4	-1.9907e+005
10	0.9	0.	0.	4	-1.9907e+005
