Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Stress (Pa)
1	0.	0.4	0.	1	2.7191e+005
2	0.3	0.4	0.	1	2.7191e+005
5	0.	0.2	0.	1	1.1372e+005
6	0.3	0.2	0.	1	1.1372e+005
2	0.3	0.4	0.	2	-8.7813e+005
3	0.6	0.4	0.	2	-8.7813e+005
6	0.3	0.2	0.	2	2.6377e+005
7	0.6	0.2	0.	2	2.6377e+005
3	0.6	0.4	0.	3	3.1078e+005
4	0.9	0.4	0.	3	3.1078e+005
7	0.6	0.2	0.	3	-1.9979e+005
8	0.9	0.2	0.	3	-1.9979e+005
7	0.6	0.2	0.	4	-3.1876e+005
8	0.9	0.2	0.	4	-3.1876e+005
9	0.6	0.	0.	4	-1.6699e+005
10	0.9	0.	0.	4	-1.6699e+005
