Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Stress (Pa)
1	0.	0.4	0.	1	1.5257e+005
1	0.	0.4	0.	1	1.5257e+005
2	0.3	0.4	0.	1	3.6452e+005
2	0.3	0.4	0.	1	3.6452e+005
5	0.	0.2	0.	1	1.5257e+005
5	0.	0.2	0.	1	1.5257e+005
6	0.3	0.2	0.	1	3.6452e+005
6	0.3	0.2	0.	1	3.6452e+005
2	0.3	0.4	0.	2	63781
2	0.3	0.4	0.	2	63781
3	0.6	0.4	0.	2	-4.3859e+005
3	0.6	0.4	0.	2	-4.3859e+005
6	0.3	0.2	0.	2	63781
6	0.3	0.2	0.	2	63781
7	0.6	0.2	0.	2	-4.3859e+005
7	0.6	0.2	0.	2	-4.3859e+005
3	0.6	0.4	0.	3	-3.3015e+005
3	0.6	0.4	0.	3	-3.3015e+005
4	0.9	0.4	0.	3	83160
4	0.9	0.4	0.	3	83160
7	0.6	0.2	0.	3	-3.3015e+005
7	0.6	0.2	0.	3	-3.3015e+005
8	0.9	0.2	0.	3	83160
8	0.9	0.2	0.	3	83160
7	0.6	0.2	0.	4	-8.0675e+005
7	0.6	0.2	0.	4	-8.0675e+005
8	0.9	0.2	0.	4	-52072
8	0.9	0.2	0.	4	-52072
9	0.6	0.	0.	4	-8.0675e+005
9	0.6	0.	0.	4	-8.0675e+005
10	0.9	0.	0.	4	-52072
10	0.9	0.	0.	4	-52072
