Node Number	X Location (m)	Y Location (m)	Z Location (m)	Element Number	Normal Stress (Pa)
1	0.	0.4	0.	1	74985
2	0.3	0.4	0.	1	4.4211e+005
5	0.	0.2	0.	1	74985
6	0.3	0.2	0.	1	4.4211e+005
2	0.3	0.4	0.	2	2.4766e+005
3	0.6	0.4	0.	2	-6.2247e+005
6	0.3	0.2	0.	2	2.4766e+005
7	0.6	0.2	0.	2	-6.2247e+005
3	0.6	0.4	0.	3	-4.8143e+005
4	0.9	0.4	0.	3	2.3444e+005
7	0.6	0.2	0.	3	-4.8143e+005
8	0.9	0.2	0.	3	2.3444e+005
7	0.6	0.2	0.	4	-1.083e+006
8	0.9	0.2	0.	4	2.2416e+005
9	0.6	0.	0.	4	-1.083e+006
10	0.9	0.	0.	4	2.2416e+005
